[way]
0	71	104	164	221	295	322	377	435	504	561	679	758	816	946	1051	1136	1237	1292	1465	1505	1535	1576	1697	1723	1800	1839	1912	1965	2039	2180	2233	2258	2302	2329	2351	2381	2399	2428	2465	2493	2520	2552	2590	2635	2682	2713	2792	2818	2876	2915	2938	2973	3027	3289	3443	3575	3621	3678	3747	3782	4019	4122	4269	4377	4497	4650	4767	4921	5042	5096	5156	5232	5349	5421	5491	5553	5622	5742	5869	5917	6173	6202	6313	6477	6599	7056	7193	7360	7527	7655	7890	8091	8373	8490	8727	8954	9127	9255	9444	9684	9814	10107	10288	10444	10567	10799	11339	11467	11971	12345	12465	12767	13450	13607	14050	14283	14628	14762	14939	15166	16011	16355	16661	16882	17128	17382	17687	18342	18436	18632	18735	18901	19035	19112	19243	19363	20168	20253	20336	20449	20741	20950	21559	22012	22159	22806	23303	23632	24081	24480	24656	24880	25104	25773	26622	27213	27505	27672	27802	28199	28365	28595	29491	29822	30181	31130	31715	32045	32207	32330	33690	33877	33994	34079	34157	34360	34636	34950	35340	35801	36044	36292	36406	36558	36818	37104	37266	37819	38275	38463	38762	38916	39072	39254	39403	39645	39788	39938

[hgt]
116	115	114	113	112	111	110	111	112	113	114	113	114	115	116	117	118	119	120	121	122	123	124	125	126	127	128	129	130	131	132	132	133	133	132	131	130	129	128	126	125	124	123	124	126	128	129	130	131	132	133	134	135	136	137	135	133	134	136	138	139	140	143	145	147	150	153	156	160	163	165	167	170	173	176	179	181	184	188	190	191	191	192	193	196	200	203	206	208	206	200	196	192	187	182	178	174	169	166	162	158	154	150	146	142	138	137	138	140	138	134	135	134	130	127	125	122	118	115	112	108	106	103	99	96	93	91	88	86	85	86	88	95	101	104	109	111	109	105	102	99	98	97	95	92	90	89	86	84	81	78	76	73	75	79	76	73	72	74	76	77	79	77	77	79	78	80	78	76	75	74	74	76	80	82	85	88	89	87	86	84	80	80	84	87	89	87	86	83	82	84	86	88	90	92	93	94	95	96

[ang]
-0.024582102	-0.052888765	-0.029088821	-0.030619811	-0.02358553	-0.064641824	0.031733259	0.030091884	0.025294627	0.030619811	-0.014790926	0.022092775	0.030091884	0.01342561	0.016622183	0.020533285	0.017280488	0.031733259	0.010088608	0.043633231	0.058177642	0.042569006	0.014424209	0.067128048	0.022666614	0.044752032	0.02390862	0.032930741	0.02358553	0.012378222	0	0.06981317	0	-0.064641824	-0.079333148	-0.058177642	-0.096962736	-0.060183767	-0.094342122	-0.062333188	-0.064641824	-0.054541539	0.045929717	0.077570189	0.07426933	0.056300944	0.022092775	0.067128048	0.030091884	0.044752032	0.075883881	0.04986655	0.032320912	0.006661562	-0.022666614	-0.026444383	0.03794194	0.061239623	0.050589254	0.04986655	0.007364258	0.050834833	0.023745976	0.032320912	0.043633231	0.034222142	0.044752032	0.045333227	0.043272626	0.064641824	0.058177642	0.068894576	0.044752032	0.072722052	0.074799825	0.056300944	0.075883881	0.058177642	0.0274855	0.036361026	0	0.060183767	0.015723687	0.031926755	0.05722391	0.011457304	0.038218889	0.020902147	-0.020902147	-0.081812309	-0.029707732	-0.03473292	-0.030945554	-0.07458672	-0.029457034	-0.0307547	-0.050443042	-0.040906154	-0.036938185	-0.029088821	-0.053702439	-0.02382702	-0.038570812	-0.044752032	-0.056758675	-0.007522971	0.003232091	0.02727077	-0.00692591	-0.018666623	0.01454441	-0.005779236	-0.010221548	-0.03335024	-0.00787959	-0.02247205	-0.020235701	-0.039074535	-0.029581852	-0.0307547	-0.004130957	-0.015220895	-0.022814761	-0.023692252	-0.021284503	-0.01374275	-0.017167173	-0.00532925	-0.018567332	0.008904741	0.033889888	0.073598221	0.078149071	0.067999841	0.06661562	0.029088821	-0.004336222	-0.082133141	-0.06308419	-0.046336175	-0.005977155	-0.008350858	-0.005731787	-0.011558472	-0.023745976	-0.002697572	-0.010535187	-0.010609904	-0.011661443	-0.013122776	-0.019833287	-0.023374945	0.015583297	0.010435451	-0.006167241	-0.008859539	-0.005977155	0.020902147	0.026851219	0.004396295	0.021028063	-0.015176776	0	0.010545796	-0.004861641	0.003678249	-0.005966938	-0.010577753	-0.010773637	-0.014189669	0	0.018666623	0.059669376	0.041066571	0.067128048	0.025793043	0.006323657	-0.011116747	-0.004475203	-0.007571927	-0.0287297	0	0.061239623	0.034447288	0.01342561	-0.0122051	-0.010773637	-0.009468332	-0.003827476	0.018567332	0.011674443	0.022666614	0.022376016	0.019179442	0.011713619	0.007212104	0.0122051	0.011635528	0.004195293

